8.70E+09	1.61E+09	7.45E+07
6.81E+09	1.61E+09	7.73E+07
5.43E+09	1.61E+09	7.60E+07
4.39E+09	1.60E+09	7.62E+07
3.41E+09	1.60E+09	7.29E+07
2.66E+09	1.59E+09	7.48E+07
2.16E+09	1.59E+09	7.71E+07
1.68E+09	1.59E+09	7.42E+07
1.32E+09	1.58E+09	7.50E+07
1.02E+09	1.57E+09	7.66E+07
8.33E+08	1.57E+09	7.79E+07
6.45E+08	1.56E+09	7.38E+07
4.96E+08	1.55E+09	7.80E+07
3.78E+08	1.56E+09	8.03E+07
2.95E+08	1.55E+09	7.93E+07
2.26E+08	1.54E+09	8.06E+07
1.78E+08	1.54E+09	7.57E+07
1.29E+08	1.53E+09	8.35E+07
1.00E+08	1.52E+09	8.30E+07
7.50E+07	1.52E+09	8.40E+07
6.06E+07	1.51E+09	7.90E+07
4.53E+07	1.50E+09	8.55E+07
3.47E+07	1.49E+09	8.56E+07
2.60E+07	1.49E+09	8.82E+07
1.97E+07	1.48E+09	8.85E+07
1.41E+07	1.47E+09	8.85E+07
8.39E+06	1.46E+09	9.12E+07
5.36E+06	1.46E+09	8.99E+07
3.13E+06	1.46E+09	9.35E+07
1.98E+06	1.46E+09	9.25E+07
1.24E+06	1.47E+09	9.79E+07
8.28E+05	1.47E+09	9.61E+07
4.85E+05	1.47E+09	9.97E+07
3.15E+05	1.47E+09	1.03E+08
1.97E+05	1.47E+09	1.06E+08
1.32E+05	1.46E+09	1.10E+08
8.53E+04	1.44E+09	1.15E+08
5.71E+04	1.41E+09	1.21E+08
3.88E+04	1.39E+09	1.24E+08
2.52E+04	1.38E+09	1.29E+08
1.79E+04	1.35E+09	1.37E+08
1.17E+04	1.32E+09	1.44E+08
8.49E+03	1.29E+09	1.51E+08
5.80E+03	1.26E+09	1.59E+08
3.97E+03	1.23E+09	1.69E+08
2.77E+03	1.19E+09	1.80E+08
2.03E+03	1.16E+09	1.90E+08
1.46E+03	1.11E+09	2.04E+08
1.03E+03	1.06E+09	2.18E+08
7.52E+02	1.01E+09	2.33E+08
5.31E+02	9.45E+08	2.48E+08
3.93E+02	8.93E+08	2.61E+08
2.95E+02	8.20E+08	2.75E+08
2.17E+02	7.52E+08	2.85E+08
1.64E+02	6.99E+08	2.95E+08
1.23E+02	6.19E+08	2.96E+08
9.04E+01	5.45E+08	2.96E+08
7.50E+01	4.91E+08	2.93E+08
5.57E+01	4.23E+08	2.85E+08
4.35E+01	3.62E+08	2.74E+08
3.33E+01	2.93E+08	2.55E+08
2.57E+01	2.46E+08	2.37E+08
2.01E+01	1.98E+08	2.14E+08
1.58E+01	1.62E+08	1.94E+08
1.23E+01	1.28E+08	1.69E+08
1.04E+01	1.07E+08	1.52E+08
8.25E+00	8.27E+07	1.29E+08
6.75E+00	6.76E+07	1.13E+08
5.62E+00	5.47E+07	9.70E+07
4.63E+00	4.55E+07	8.47E+07
3.98E+00	3.75E+07	7.28E+07
3.08E+00	3.06E+07	6.07E+07
2.55E+00	2.50E+07	5.09E+07
2.09E+00	2.17E+07	4.40E+07
1.66E+00	1.80E+07	3.65E+07
1.36E+00	1.56E+07	3.09E+07
1.14E+00	1.38E+07	2.65E+07
9.49E-01	1.18E+07	2.21E+07
7.78E-01	1.05E+07	1.91E+07
6.56E-01	9.46E+06	1.65E+07
5.72E-01	8.67E+06	1.47E+07
4.77E-01	7.86E+06	1.27E+07
4.06E-01	7.23E+06	1.09E+07
3.37E-01	6.56E+06	9.54E+06
2.91E-01	6.17E+06	8.56E+06
2.57E-01	5.82E+06	7.76E+06
2.25E-01	5.43E+06	6.97E+06
1.90E-01	5.15E+06	6.24E+06
1.71E-01	4.90E+06	5.76E+06
1.50E-01	4.59E+06	5.22E+06
1.29E-01	4.38E+06	4.73E+06
1.15E-01	4.15E+06	4.33E+06
9.99E-02	3.95E+06	3.92E+06
8.84E-02	3.78E+06	3.63E+06
7.73E-02	3.64E+06	3.33E+06
6.90E-02	3.49E+06	3.09E+06
6.17E-02	3.35E+06	2.85E+06
5.49E-02	3.22E+06	2.61E+06
4.94E-02	3.10E+06	2.44E+06
4.44E-02	3.00E+06	2.31E+06
4.12E-02	2.93E+06	2.16E+06
3.57E-02	2.80E+06	1.98E+06
3.12E-02	2.70E+06	1.79E+06
2.82E-02	2.59E+06	1.66E+06
2.54E-02	2.51E+06	1.54E+06
2.29E-02	2.44E+06	1.45E+06
2.04E-02	2.35E+06	1.34E+06
1.84E-02	2.31E+06	1.28E+06
1.69E-02	2.26E+06	1.21E+06
1.56E-02	2.22E+06	1.14E+06
1.40E-02	2.12E+06	1.06E+06
1.27E-02	2.07E+06	1.02E+06
1.17E-02	2.03E+06	9.47E+05
1.07E-02	1.99E+06	9.01E+05
9.76E-03	1.93E+06	8.34E+05
9.03E-03	1.93E+06	8.13E+05
8.25E-03	1.90E+06	7.73E+05
7.58E-03	1.85E+06	7.26E+05
6.93E-03	1.83E+06	6.85E+05
6.55E-03	1.81E+06	6.74E+05
5.92E-03	1.76E+06	6.44E+05
5.38E-03	1.73E+06	5.86E+05
4.98E-03	1.72E+06	5.69E+05
4.69E-03	1.71E+06	5.63E+05
4.34E-03	1.69E+06	5.31E+05
3.96E-03	1.65E+06	4.98E+05
3.71E-03	1.63E+06	4.70E+05
3.45E-03	1.62E+06	4.49E+05
3.14E-03	1.61E+06	4.50E+05
2.90E-03	1.59E+06	4.21E+05
2.74E-03	1.58E+06	4.00E+05
2.50E-03	1.55E+06	3.65E+05
2.32E-03	1.53E+06	3.59E+05
2.16E-03	1.52E+06	3.50E+05
2.03E-03	1.50E+06	3.40E+05
1.89E-03	1.51E+06	3.24E+05
1.77E-03	1.51E+06	3.13E+05
1.66E-03	1.48E+06	2.96E+05
1.56E-03	1.47E+06	2.78E+05
1.44E-03	1.46E+06	2.53E+05
1.36E-03	1.43E+06	2.67E+05
1.26E-03	1.45E+06	2.47E+05
1.17E-03	1.43E+06	2.43E+05
1.12E-03	1.42E+06	2.32E+05
1.04E-03	1.42E+06	2.17E+05
9.68E-04	1.41E+06	2.06E+05
9.09E-04	1.40E+06	2.03E+05
8.61E-04	1.40E+06	2.08E+05
